Data_as_of,DCF_Region,DCF_Office,Demographic,Out_of_State,Month_in_Care,TOTAL_CIP,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING
06/26/2014,Other,NULL,Age >=18,N,07/01/2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Aftercare,Age >=18,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Aftercare,Age 13-17,N,07/01/2004,26,0,0,0,0,0,0,1,12,0,0,13,0,0
06/26/2014,Other,Aftercare,Age 13-17,Y,07/01/2004,8,0,0,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Other,Aftercare,Age 7-12,N,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,Age >=18,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Gen'l Administration,Age 13-17,N,07/01/2004,12,1,0,0,0,0,0,0,7,0,0,4,0,0
06/26/2014,Other,Gen'l Administration,Age 13-17,Y,07/01/2004,9,0,0,0,0,0,0,0,9,0,0,0,0,0
06/26/2014,Other,Treatment Services,Age 13-17,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,Age >=18,N,07/01/2004,2,1,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,Age 0-3,N,07/01/2004,2,1,1,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,Age 13-17,N,07/01/2004,130,2,0,0,0,0,0,3,120,0,1,4,0,0
06/26/2014,Other,Unassigned_Office,Age 13-17,Y,07/01/2004,20,0,0,0,0,0,0,2,18,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,Age 4-6,N,07/01/2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,Age 7-12,N,07/01/2004,5,2,0,0,0,1,0,0,2,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,Age 7-12,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age >=18,N,07/01/2004,39,15,3,1,4,0,1,5,1,1,0,0,0,8
06/26/2014,Region 1,Bridgeport Office,Age >=18,Y,07/01/2004,4,0,0,0,1,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age 0-3,N,07/01/2004,113,71,30,2,6,4,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age 0-3,Y,07/01/2004,3,2,1,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age 13-17,N,07/01/2004,177,58,24,7,19,0,7,19,32,2,5,1,1,2
06/26/2014,Region 1,Bridgeport Office,Age 13-17,Y,07/01/2004,43,3,4,0,3,0,0,1,32,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age 4-6,N,07/01/2004,65,26,25,1,6,5,0,2,0,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age 4-6,Y,07/01/2004,4,2,1,0,1,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,Age 7-12,N,07/01/2004,123,50,28,2,15,3,1,5,12,1,4,0,2,0
06/26/2014,Region 1,Bridgeport Office,Age 7-12,Y,07/01/2004,14,3,3,0,3,0,0,0,5,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,Age >=18,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1
06/26/2014,Region 1,Norwalk Office,Age 0-3,N,07/01/2004,21,9,11,0,1,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,Age 0-3,Y,07/01/2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,Age 13-17,N,07/01/2004,22,3,4,3,1,0,1,4,5,0,1,0,0,0
06/26/2014,Region 1,Norwalk Office,Age 13-17,Y,07/01/2004,6,1,0,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,Age 4-6,N,07/01/2004,13,8,4,0,0,1,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,Age 7-12,N,07/01/2004,9,0,4,1,1,2,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,Age 7-12,Y,07/01/2004,6,2,1,0,0,0,0,0,2,0,0,0,1,0
06/26/2014,Region 1,Stamford Office,Age >=18,N,07/01/2004,6,1,0,1,1,0,0,2,1,0,0,0,0,0
